stool, solid excretory product evacuated from the bowels
genus cheiranthus, Old World perennial plants grown for their showy flowers
supposition, the cognitive process of supposing
st. lucia, a country on the island of Saint Lucia; gained independence from Great Britain in 1979
wind, catch the scent of; get wind of; "The dog nosed out the drugs"
pyrrhula, bullfinches
slezsko, a region of central Europe rich in deposits of coal and iron ore; annexed by Prussia in 1742 but now largely in Poland
ramble, an aimless amble on a winding course
lobularity, the property of having lobules
family bacteroidaceae, family of bacteria living usually in the alimentary canal or on mucous surfaces of warm-blooded animals; sometimes associated with acute infective processes
leaf beetle, brightly colored beetle that feeds on plant leaves; larvae infest roots and stems
school year, the period of time each year when the school is open and people are studying
papal nuncio, (Roman Catholic Church) a diplomatic representative of the Pope having ambassadorial status
talwin, analgesic drug (trade name Talwin) that is less addictive than morphine
allometry, the study of the relative growth of a part of an organism in relation to the growth of the whole
uterine cervix, necklike opening to the uterus
midwestern united states, the north central region of the United States (sometimes called the heartland or the breadbasket of America)
run up, raise; "hoist the flags"; "hoist a sail"
obadiah, an Old Testament book telling Obadiah's prophecies; the shortest book in the Christian Bible
hemophilia a, hemophilia caused by a congenital deficiency of factor VIII; occurs almost exclusively in men
paridae, titmice and chickadees
family crangonidae, shrimps
excite, produce a magnetic field in; "excite the neurons"
surgical contraception, contraception by surgical sterilization
the alps, a large mountain system in south-central Europe; scenic beauty and winter sports make them a popular tourist attraction
privatization, changing something from state to private ownership or control
spade, dig (up) with a spade; "I spade compost into the flower beds"
propellent, any substance that propels
podicipitiformes, grebes
odocoileus hemionus columbianus, mule deer of western Rocky Mountains
noise, a loud outcry of protest or complaint; "the announcement of the election recount caused a lot of noise"; "whatever it was he didn't like it and he was going to let them know by making as loud a noise as he could"
fate, decree or designate beforehand; "She was destined to become a great pianist"
no-account, an idle worthless person
staff officer, a commissioned officer assigned to a military commander's staff
credible, capable of being believed; "completely credible testimony"; "credible information"
trench, a ditch dug as a fortification having a parapet of the excavated earth
psyche, that which is responsible for one's thoughts and feelings; the seat of the faculty of reason; "his mind wandered"; "I couldn't get his words out of my head"
mutation, (genetics) any event that changes genetic structure; any alteration in the inherited nucleic acid sequence of the genotype of an organism
rabat, the capital of Morocco; located in the northwestern on the Atlantic coast
strongbox, a strongly made box for holding money or valuables; can be locked
robert nesta marley, Jamaican singer who popularized reggae (1945-1981)
sudan, a republic in northeastern Africa on the Red Sea; achieved independence from Egypt and the United Kingdom in 1956
symphalangus, used in some classifications for the siamangs   pull (a person) apart with four horses tied to his extremities, so as to execute him; "in the old days, people were drawn and quartered for certain crimes"
psephurus, a genus of Polyodontidae
victor hugo, French poet and novelist and dramatist; leader of the romantic movement in France (1802-1885)
mycosis, an inflammatory condition caused by a fungus
maltster, a maker of malt
grownup, a fully developed person from maturity onward
manchuria, a region in northeastern China
bush pea, any of various plants of the genus Thermopsis having trifoliate leaves and yellow or purple racemose flowers
flame nettle, any of various Old World tropical plants of the genus Coleus having multicolored decorative leaves and spikes of blue flowers
ticker, the hollow muscular organ located behind the sternum and between the lungs; its rhythmic contractions move the blood through the body; "he stood still, his heart thumping wildly"
sealer, a kind of sealing material that is used to form a hard coating on a porous surface (as a coat of paint or varnish used to size a surface)
rhexia, deer grass
fastener, a person who fastens or makes fast; "he found the door fastened and wondered who the fastener was"
spread out, extend in one or more directions; "The dough expands"
confide, reveal in private; tell confidentially
receptionist, a secretary whose main duty is to answer the telephone and receive visitors
rushing, (American football) an attempt to advance the ball by running into the line; "the linebackers were ready to stop a rush"
vidua, whydahs
pseudococcus, type genus of the Pseudococcidae
sutura sagittalis, the suture uniting the two parietal bones
tempt, dispose or incline or entice to; "We were tempted by the delicious-looking food"
existentialist philosopher, a philosopher who emphasizes freedom of choice and personal responsibility but who regards human existence in a hostile universe as unexplainable
voice, utter with vibrating vocal chords
discomposure, a temperament that is perturbed and lacking in composure
trevino, United States golfer (born in 1939)
salvadorian, a native or inhabitant of El Salvador
mound, structure consisting of an artificial heap or bank usually of earth or stones; "they built small mounds to hide behind"
polite, not rude; marked by satisfactory (or especially minimal) adherence to social usages and sufficient but not noteworthy consideration for others; "even if he didn't like them he should have been civil"- W.S. Maugham
taste, delicate discrimination (especially of aesthetic values); "arrogance and lack of taste contributed to his rapid success"; "to ask at that particular time was the ultimate in bad taste"
kinswoman, a female relative
pillars of hercules, the two promontories at the eastern end of the Strait of Gibraltar; according to legend they were formed by Hercules
epidendrum venosum, Mexican epiphytic orchid having pale green or yellow-green flowers with white purple-veined lip
tinsel, adorn with tinsel; "snow flakes tinseled the trees"
cash machine, an unattended machine (outside some banks) that dispenses money when a personal coded card is used
violoncellist, someone who plays a violoncello
training, the result of good upbringing (especially knowledge of correct social behavior); "a woman of breeding and refinement"
retrogression, passing from a more complex to a simpler biological form
elevator operator, an operator of an elevator
dye, color with dye; "Please dye these shoes"
arbitration, (law) the hearing and determination of a dispute by an impartial referee agreed to by both parties (often used to settle disputes between labor and management)
comer, someone who arrives (or has arrived)
peritrate, a coronary vasodilator (trade name Peritrate) used to treat angina pectoris
attorneyship, the position of attorney
pleione, small genus of dwarf orchids; India to Thailand and Taiwan
nanga parbat, a mountain in the Himalayas in Kashmir (26,660 feet high)
salsify, edible root of the salsify plant
cliff dwelling, a rock and adobe dwelling built on sheltered ledges in the sides of a cliff; "the Anasazi built cliff dwellings in the southwestern United States"
houri, (Islam) one of the dark-eyed virgins of perfect beauty believed to live with the blessed in Paradise
gas shell, (military) bomb consisting of an explosive projectile filled with a toxic gas that is released when the bomb explodes
tachygraphy, a method of writing rapidly
arc, a continuous portion of a circle
appliance, durable goods for home or office use
phase, (physical chemistry) a distinct state of matter in a system; matter that is identical in chemical composition and physical state and separated from other material by the phase boundary; "the reaction occurs in the liquid phase of the system"
winter heliotrope, European herb with vanilla-scented white-pink flowers
fault line, (geology) line determined by the intersection of a geological fault and the earth's surface
balcony, a platform projecting from the wall of a building and surrounded by a balustrade or railing or parapet
operation, (mathematics) calculation by mathematical methods; "the problems at the end of the chapter demonstrated the mathematical processes involved in the derivation"; "they were learning the basic operations of arithmetic"
weakener, that which weakens or causes a loss of strength; "doubt is a great weakener of resolve"
ndjamena, the capital and largest city of Chad; located in the southwestern on the Shari river
trigonometric function, function of an angle expressed as a ratio of the length of the sides of right-angled triangle containing the angle
soybean meal, meal made from soybeans
bedizen, decorate tastelessly
pass, go unchallenged; be approved; "The bill cleared the House"
demythologize, remove the mythical element from (writings); "the Bible should be demythologized and examined for its historical value"
the tempter, (Judeo-Christian and Islamic religions) chief spirit of evil and adversary of God; tempter of mankind; master of Hell
back, (football) a person who plays in the backfield
genus armillaria, genus of edible mushrooms having white spores an annulus and blue juice; some are edible; some cause root rot
west germanic language, a branch of the Germanic languages
genus cronartium, rust fungi having aecia produced in raised or swollen sori and teliospores borne in waxy columns
ironwood tree, a small slow-growing deciduous tree of northern Iran having a low domed shape
subculture, a social group within a national culture that has distinctive patterns of behavior and beliefs
countermarch, (military) a march in the reverse direction or back along the same route
presidential term, the tenure of a president; "things were quiet during the Eisenhower administration"
pleasure craft, a large motorboat that has a cabin and plumbing and other conveniences necessary for living on board
prepuce, a fold of skin covering the tip of the clitoris
cryptophyceae, motile usually brownish-green protozoa-like algae
genus anacardium, type genus of the Anacardiaceae: cashew
clout, strike hard, especially with the fist; "He clouted his attacker"
panto, an abbreviation of pantomime
have a bun in the oven, be pregnant with; "She is bearing his child"; "The are expecting another child in January"; "I am carrying his child"
philaenus, a genus of Cercopidae
ready-to-wear, ready-made clothing; "she couldn't find anything in ready-to-wear that she liked"
vulnerability, the state of being vulnerable or exposed; "his vulnerability to litigation"; "his exposure to ridicule"
superfamily sphecoidea, families Sphecidae and Stizidae
urban sprawl, an aggregation or continuous network of urban communities
long suit, in a hand, the suit having the most cards
seafaring, the work of a sailor
hellenic republic, a republic in southeastern Europe on the southern part of the Balkan peninsula; known for grapes and olives and olive oil
order cypriniformes, an order of animals including almost entirely freshwater fishes: characins; loaches; carp; suckers; sometimes classified as a suborder of Ostariophysi
mount carmel, a mountain range in northwestern Israel near the Mediterranean coast; "according to the Old Testament, Elijah defeated the priests of Baal at Mount Carmel"
genus chiococca, shrubs of tropical and subtropical New World
twelve tribes of israel, twelve kin groups of ancient Israel each traditionally descended from one of the twelve sons of Jacob
solenogaster, deep-water wormlike mollusks lacking calcareous plates on the body but having fine slimy spicules on the covering mantle
monas, a singular metaphysical entity from which material properties are said to derive
persuasive, intended or having the power to induce action or belief; "persuasive eloquence"; "a most persuasive speaker"; "a persuasive argument"
protect, shield from danger, injury, destruction, or damage; "Weatherbeater protects your roof from the rain"
vena facialis, any of several veins draining the face
sesame family, the family of plants of order Polemoniales
possessive case, the case expressing ownership
acadia, the French-speaking part of the Canadian Maritime Provinces
passenger train, a train that carries passengers
gasterosteidae, sticklebacks
casque, (15-16th century) any armor for the head; usually ornate without a visor
light-emitting diode, diode such that light emitted at a p-n junction is proportional to the bias current; color depends on the material used
elephantiasis, hypertrophy of certain body parts (usually legs and scrotum); the end state of the disease filariasis
pacific northwest, a region of the northwestern United States usually including Washington and Oregon and sometimes southwestern British Columbia
genus caltha, a genus of Caltha
genus dasypus, type genus of the Dasypodidae
impairment, the condition of being unable to perform as a consequence of physical or mental unfitness; "reading disability"; "hearing impairment"
filler, the tobacco used to form the core of a cigar
sandarac, durable fragrant wood; used in building (as in the roof of the cathedral at Cordova, Spain)
santiago de cuba, a port city in southeastern Cuba; industrial center
mark antony, Roman general under Julius Caesar in the Gallic wars; repudiated his wife for the Egyptian queen Cleopatra; they were defeated by Octavian at Actium (83-30 BC)
hanseatic league, a commercial and defensive confederation of free cities in northern Germany and surrounding areas; formed in 1241 and most influential in the 14th century when it included over 100 towns and functioned as an independent political power; the last official assembly was held in 1669
orphan, someone or something who lacks support or care or supervision
hosepipe, a flexible pipe for conveying a liquid or gas
great lakes, a group of five large, interconnected lakes in central North America
paradisaeidae, birds of paradise
cinnabar, a heavy reddish mineral consisting of mercuric sulfide; the chief source of mercury
tientsin, a major industrial center in northeastern China on the Grand Canal near the Yellow Sea; 3rd largest city in China
broccoli, plant with dense clusters of tight green flower buds
four-in-hand, a carriage pulled by four horses with one driver
unspell, release from a spell
nestor paz zamora commission, a terrorist organization in Bolivia that acts as an umbrella for numerous small indigenous subversive groups; a revival of a group with Marxist-Leninist ideologies originally established by Che Guevara in the 1960s
barge, transport by barge on a body of water
crataegus crus-galli, eastern United States hawthorn with long straight thorns
fear, an anxious feeling; "care had aged him"; "they hushed it up out of fear of public reaction"
provenience, where something originated or was nurtured in its early existence; "the birthplace of civilization"
platoon, a military unit that is a subdivision of a company; usually has a headquarters and two or more squads; usually commanded by a lieutenant
waco, a city in east central Texas
timolol, a beta blocker (trade name Blocadren) administered after heart attacks
subdivision, a division of some larger or more complex organization; "a branch of Congress"; "botany is a branch of biology"; "the Germanic branch of Indo-European languages"
spheniscus, type genus of the Spheniscidae: jackass penguins
tombstone, a stone that is used to mark a grave
perpendicularity, the relation of opposition between things at right angles
pocket lighter, a lighter for cigars or cigarettes
theological virtue, according to Christian ethics: one of the three virtues (faith, hope, and charity) created by God to round out the natural virtues
fijis, a group of more than 800 islands (100 inhabited) in the southwestern Pacific; larger islands (Viti Levu and Vanua Levu) are of volcanic origin surrounded by coral reefs; smaller islands are coral
hellion, a rowdy or mischievous person (usually a young man); "he chased the young hellions out of his yard"
shmegegge, (Yiddish) baloney; hot air; nonsense
paganism, any of various religions other than Christianity or Judaism or Islamism
training college, a school providing training for a special field or profession
taxonomy, (biology) study of the general principles of scientific classification
marvel, express astonishment or surprise about something
nitrous oxide, inhalation anesthetic used as an anesthetic in dentistry and surgery
sweet balm, bushy perennial Old World mint having small white or yellowish flowers and fragrant lemon-flavored leaves; a garden escapee in northern Europe and North America
portrayer, a painter or drawer of portraits
seep, pass gradually or leak through or as if through small openings
nullifier, an advocate of nullification; someone who believes that a state can resist federal laws
pea plant, a leguminous plant of the genus Pisum with small white flowers and long green pods containing edible green seeds
templetonia retusa, Australian shrub having simple obovate leaves and brilliant scarlet flowers
islamic party of turkestan, a terrorist group of Islamic militants formed in 1996; opposes Uzbekistan's secular regime and wants to establish an Islamic state in central Asia; is a conduit for drugs from Afghanistan to central Asian countries
cackler, any of various insectivorous Old World birds with a loud incessant song; in some classifications considered members of the family Muscicapidae
want, feel or have a desire for; want strongly; "I want to go home now"; "I want my own room"
newborn infant, a baby from birth to four weeks
privy council, an advisory council to a ruler (especially to the British Crown)
lepidocybium, a genus of Gempylidae
thrust, the act of applying force to propel something; "after reaching the desired velocity the drive is cut off"
catapultic, of or like a catapult; "a catapultic kind of action"
smooth dogfish, small bottom-dwelling shark found along both Atlantic coasts
slave-making ant, an ant that attacks colonies of other ant species and carries off the young to be reared as slave ants
carriageway, one of the two sides of a motorway where traffic travels in one direction only usually in two or three lanes
splinter, a small thin sharp bit or wood or glass or metal; "he got a splinter in his finger"; "it broke into slivers"
remuneration, the act of paying for goods or services or to recompense for losses; "adequate remuneration for his work"
suit, be agreeable or acceptable to; "This suits my needs"
taxodium distichum, common cypress of southeastern United States having trunk expanded at base; found in coastal swamps and flooding river bottoms
gametogenesis, the development and maturation of sex cells through meiosis
vision, the formation of a mental image of something that is not perceived as real and is not present to the senses; "popular imagination created a world of demons"; "imagination reveals what the world could be"
engine cooling system, equipment in a motor vehicle that cools the engine
magazine, a metal frame or container holding cartridges; can be inserted into an automatic gun
genus athrotaxis, a genus of gymnosperm
schooltime, the period of instruction in a school; the time period when school is in session; "stay after school"; "he didn't miss a single day of school"; "when the school day was done we would walk home together"
supernumerary, a person serving no apparent function; "reducing staff is difficult because our employees include no supernumeraries"
perplex, make more complicated; "There was a new development that complicated the matter"
greylag goose, common grey wild goose of Europe; ancestor of many domestic breeds
marsilea, clover ferns
woodworking plane, a carpenter's hand tool with an adjustable blade for smoothing or shaping wood; "the cabinetmaker used a plane for the finish work"
swayer, a person who rules or commands; "swayer of the universe"
psychotria capensis, South African evergreen having hard tough wood
geomyidae, North American pocket gophers
stodge, heavy and filling (and usually starchy) food
deanship, the position or office of a dean
steamroller, a massive inexorable force that seems to crush everything in its way
adjustable wrench, can be changed to different settings
straw boss, a member of a work gang who supervises the other workers
fruit tree, tree bearing edible fruit
summer solstice, June 21, when the sun is at its northernmost point
surcease, a stopping; "a cessation of the thunder"
blueprint, photographic print of plans or technical drawings etc.
neighbour, a person who lives (or is located) near another
showpiece, the outstanding item (the prize piece or main exhibit) in a collection
order dermoptera, flying lemurs
relegate, assign to a class or kind; "How should algae be classified?"; "People argue about how to relegate certain mushrooms"
genus acanthophis, Australian elapid snakes
chocolate candy, candy made with chocolate
stem, front part of a vessel or aircraft; "he pointed the bow of the boat toward the finish line"
extensile, capable of being protruded or stretched or opened out; "an extensile tongue"; "an extensible measuring rule"
team, a cooperative unit (especially in sports)
mephobarbital, a long-acting crystalline barbiturate (trade name Mebaral) used as a sedative and as an anticonvulsant in the treatment of epilepsy
pinch, a small sharp bite or snip
bw defense, defense against biological warfare
michelangelo buonarroti, Florentine sculptor and painter and architect; one of the outstanding figures of the Renaissance (1475-1564)
sexual urge, all of the feelings resulting from the urge to gratify sexual impulses; "he wanted a better sex life"; "the film contained no sex or violence"
boldface, a typeface with thick heavy lines
utilization, the act of using; "he warned against the use of narcotic drugs"; "skilled in the utilization of computers"
nazify, cause or force to adopt Nazism or a Nazi character; "Hitler nazified Germany in the 1930's"; "The arts were nazified everywhere in Germany"
conventionalize, make conventional or adapt to conventions; "conventionalized behavior"
rearmament, the act of arming again; "he opposed the rearmament of Japan after World War II"
theme, (music) melodic subject of a musical composition; "the theme is announced in the first measures"; "the accompanist picked up the idea and elaborated it"
norinyl, trade name for an oral contraceptive containing norethindrone and mestranol
lighterman, someone who operates a barge
explosion, a sudden outburst; "an explosion of laughter"; "an explosion of rage"
throw, make on a potter's wheel; "she threw a beautiful teapot"
herd, a group of cattle or sheep or other domestic mammals all of the same kind that are herded by humans
surcharge, place too much a load on; "don't overload the car"
delphi, an ancient Greek city on the slopes of Mount Parnassus; site of the oracle of Delphi
rigout, a person's costume (especially if bizarre); "What a queer rigout!"
sign, make the sign of the cross over someone in order to call on God for protection; consecrate
small person, a person of below average size
titan, (Greek mythology) any of the primordial giant gods who ruled the Earth until overthrown by Zeus; the Titans were offspring of Uranus (Heaven) and Gaea (Earth)
wild wilkworm, larva of a saturniid moth; spins a large amount of strong silk in constructing its cocoon
hoof, the foot of an ungulate mammal
girondist, a member of the moderate republican party that was in power during the French Revolution; the Girondists were overthrown by their more radical rivals the Jacobins
boston tea party, demonstration (1773) by citizens of Boston who (disguised as Indians) raided three British ships in Boston harbor and dumped hundreds of chests of tea into the harbor; organized as a protest against taxes on tea
trick, deceive somebody; "We tricked the teacher into thinking that class would be cancelled next week"
dissolving, the process of going into solution; "the dissolving of salt in water"
queen, (chess) the most powerful piece
lake trasimenus, a battle in 217 BC in which Hannibal ambushed a Roman army led by Flaminius
serum, an amber, watery fluid, rich in proteins, that separates out when blood coagulates
shadowiness, relative darkness caused by light rays being intercepted by an opaque body; "it is much cooler in the shade"; "there's too much shadiness to take good photographs"
french indochina, the French colonies of the territory now occupied by Cambodia, Laos, and Vietnam
compass, bring about; accomplish; "This writer attempts more than his talents can compass"
lewisia, genus of western North American low-growing herbs having linear woolly leaves and large pink flowers
identity card, a card certifying the identity of the bearer; "he had to show his card to get in"
tender, a formal proposal to buy at a specified price
scrub fowl, large-footed short-winged birds of Australasia; build mounds of decaying vegetation to incubate eggs
hispaniola, an island in the West Indies
range of a function, (mathematics) the set of values of the dependent variable for which a function is defined; "the image of f(x) = x^2 is the set of all non-negative real numbers if the domain of the function is the set of all real numbers"
center for disease control and prevention, a federal agency in the Department of Health and Human Services; located in Atlanta; investigates and diagnoses and tries to control or prevent diseases (especially new and unusual diseases)
isole egadi, a group of islands off the west coast of Sicily in the Mediterranean
family colubridae, nonvenomous snakes; about two-thirds of all living species
singing voice, the musical quality of the voice while singing
terror, an overwhelming feeling of fear and anxiety
diffusion, (physics) the process in which there is movement of a substance from an area of high concentration of that substance to an area of lower concentration
genus fomes, genus of bracket fungi forming corky or woody perennial shelflike sporophores often of large size; includes some that cause destructive heartrot in trees
ligament, a sheet or band of tough fibrous tissue connecting bones or cartilages or supporting muscles or organs
blue, turn blue
acrylic, a synthetic fabric
wintergreen oil, oil or flavoring obtained from the creeping wintergreen or teaberry plant
sponge, primitive multicellular marine animal whose porous body is supported by a fibrous skeletal framework; usually occurs in sessile colonies
acanthus, any plant of the genus Acanthus having large spiny leaves and spikes or white or purplish flowers; native to Mediterranean region but widely cultivated
coelenterate family, a family of coelenterates
department, the territorial and administrative division of some countries (such as France)
sweet unicorn plant, a herbaceous plant of the genus Proboscidea
heal, provide a cure for, make healthy again; "The treatment cured the boy's acne"; "The quack pretended to heal patients but never managed to"
genus alopecurus, annual or perennial grasses including decorative and meadow species as well as notorious agricultural weeds
nazi, a German member of Adolf Hitler's political party
window, (computer science) a rectangular part of a computer screen that contains a display different from the rest of the screen
usa, North American republic containing 50 states - 48 conterminous states in North America plus Alaska in northwest North America and the Hawaiian Islands in the Pacific Ocean; achieved independence in 1776
tragulidae, chevrotains
pharmacy, a retail shop where medicine and other articles are sold
college, an institution of higher education created to educate and grant degrees; often a part of a university
genus astacus, type genus of the family Astacidae; Old World crayfish
true flycatcher, any of a large group of small songbirds that feed on insects taken on the wing
krauthead, offensive term for a person of German descent
step, the sound of a step of someone walking; "he heard footsteps on the porch"
milk vetch, any of various plants of the genus Astragalus
swiss stone pine, large five-needled European pine; yields cembra nuts and a resinous exudate
subclass crossopterygii, fishes having paired fins resembling limbs and regarded as ancestral to amphibians
public school, private independent secondary school in Great Britain supported by endowment and tuition
nei monggol, an autonomous region of northeastern China that was annexed by the Manchu rulers in 1635 and became an integral part of China in 1911
woolgatherer, someone who indulges in idle or absentminded daydreaming
whole, all of something including all its component elements or parts; "Europe considered as a whole"; "the whole of American literature"
northern territory, a territory in north central Australia
transportation, the commercial enterprise of moving goods and materials
virgin mary, the mother of Jesus; Christians refer to her as the Virgin Mary; she is especially honored by Roman Catholics
return, the act of going back to a prior location; "they set out on their return to the base camp"
recorder, a barrister or solicitor who serves as part-time judge in towns or boroughs
prolapse, slip or fall out of place, as of body parts; "prolapsed rectum"
evangelist, (when capitalized) any of the spiritual leaders who are assumed to be authors of the Gospels in the New Testament: Matthew, Mark, Luke, and John
cellar, the lowermost portion of a structure partly or wholly below ground level; often used for storage
williams, United States country singer and songwriter (1923-1953)
doubling, raising the stakes in a card game by a factor of 2; "I decided his double was a bluff"
complexifier, someone makes things complex
upper deck, a higher deck
belly dance, perform a belly dance
arousal, a state of heightened physiological activity
actinomycete, any bacteria (some of which are pathogenic for humans and animals) belonging to the order Actinomycetales
fibre optic cable, a cable made of optical fibers that can transmit large amounts of information at the speed of light
temporal relation, a relation involving time
hoot, utter the characteristic sound of owls
lemon extract, a flavoring made from (or imitating) lemons
affirmative, a reply of affirmation; "he answered in the affirmative"
family diomedeidae, albatrosses
workhouse, a poorhouse where able-bodied poor are compelled to labor
conspiracy, a group of conspirators banded together to achieve some harmful or illegal purpose
pernis, a common European bird of prey; dull brown with white-streaked underparts
megalobatrachus, giant salamanders; in some classifications included in the genus Cryptobranchus
body odour, malodorousness resulting from a failure to bathe
ancient greek, the Greek language prior to the Roman Empire
sweetheart, a very attractive or seductive looking woman
title of respect, an identifying appellation signifying status or function: e.g. `Mr.' or `General'; "the professor didn't like his friends to use his formal title"
supporters of islam, a radical Islamic group of terrorists in the Iraqi part of Kurdistan who oppose an independent secular nation as advocated by the United States; some members fought with the Taliban and al-Qaeda forces in Afghanistan; said to receive financial support from Saddam Hussein
wassail, a punch made of sweetened ale or wine heated with spices and roasted apples; especially at Christmas
native sulphur, an old name for sulfur
obligingness, a disposition or tendency to yield to the will of others
rolling wave, a long heavy sea wave as it advances towards the shore
aperture, a natural opening in something
mugwump, a neutral or uncommitted person (especially in politics)
vietnamese, a native or inhabitant of Vietnam
church service, a service conducted in a house of worship; "don't be late for church"
rusher, a person who rushes; someone in a hurry; someone who acts precipitously
jacobite, a supporter of James II after he was overthrown or a supporter of the Stuarts
heilong jiang, an Asian river between China and Russia; flows into the Sea of Okhotsk
river lethe, (Greek mythology) a river in Hades; the souls of the dead had to drink from it, which made them forget all they had done and suffered when they were alive
riding habit, attire that is typically worn by a horseback rider (especially a woman's attire)
savagery, the property of being untamed and ferocious; "the coastline is littered with testaments to the savageness of the waters"; "a craving for barbaric splendor, for savagery and color and the throb of drums"
genus catha, a genus of African evergreen shrubs characterized by thick leaves and white flowers
shrink from, avoid (one's assigned duties); "The derelict soldier shirked his duties"
presentation, the act of making something publicly available; presenting news or other information by broadcasting or printing it; "he prepared his presentation carefully in advance"
pocketbook, pocket-sized paperback book
white alder, shrub of eastern and southern coastal United States having beautiful racemes of spice-scented white flowers
race, people who are believed to belong to the same genetic stock; "some biologists doubt that there are important genetic differences between races of human beings"
gamete, a mature sexual reproductive cell having a single set of unpaired chromosomes
genus nierembergia, genus of tropical American erect or creeping herbs with solitary flowers
solomon's-seal, any of several plants of the genus Polygonatum having paired drooping yellowish-green flowers and a thick rootstock with scars shaped like Solomon's seal
sacramento mountains, mountain range in New Mexico to the east of the Rio Grande
solvent, a statement that solves a problem or explains how to solve the problem; "they were trying to find a peaceful solution"; "the answers were in the back of the book"; "he computed the result to four decimal places"
king of the germans, the sovereign ruler of the Germans
push-button radio, a radio receiver that can be tuned by pressing buttons
raspberry bush, woody brambles bearing usually red but sometimes black or yellow fruits that separate from the receptacle when ripe and are rounder and smaller than blackberries
nonviolent, abstaining (on principle) from the use of violence
entrepreneur, someone who organizes a business venture and assumes the risk for it
pilgrimage, a journey to a sacred place
genus rhinoceros, type genus of the Rhinocerotidae
restoration, the state of being restored to its former good condition; "the inn was a renovation of a Colonial house"
user, a person who makes use of a thing; someone who uses or employs something
epacris, any heathlike evergreen shrub of the genus Epacris grown for their showy and crowded spikes of small bell-shaped or tubular flowers
dictate, an authoritative rule
family certhiidae, creepers
periodontitis, a disease that attacks the gum and bone and around the teeth
pit, a sizeable hole (usually in the ground); "they dug a pit to bury the body"
ward, English economist and conservationist (1914-1981)
eliminator, an agent that eliminates something
mayetiola, a genus of Cecidomyidae
stock market index, index based on a statistical compilation of the share prices of a number of representative stocks
hernaria, low-growing Old World herbs with minute bright green leaves
saxifraga, type genus of the Saxifragaceae; large genus of usually perennial herbs of Arctic and cool regions of northern hemisphere: saxifrage
bird genus, a genus of birds
length, size of the gap between two places; "the distance from New York to Chicago"; "he determined the length of the shortest line segment joining the two points"
republic of ghana, a republic in West Africa on the Gulf of Guinea; "Ghana was colonized as the Gold Coast by the British"
enucleate, remove the nucleus from (a cell)
single, a base hit on which the batter stops safely at first base
chain, (business) a number of similar establishments (stores or restaurants or banks or hotels or theaters) under one ownership
inheritor, a person who is entitled by law or by the terms of a will to inherit the estate of another
central bank, a government monetary authority that issues currency and regulates the supply of credit and holds the reserves of other banks and sells new issues of securities for the government
smell, the faculty that enables us to distinguish scents
marten cat, agile slender-bodied arboreal mustelids somewhat larger than weasels
